Dep Airport Code;Arr Airport Code;Dep Airport Name;Dep IATA Country Code;Dep IATA Country Name;Arr Airport Name;Arr IATA Country Code;Arr IATA Country Name;Dep Region Code;Dep Region Name;Arr Region Code;Arr Region Name;Frequency;Seats Total
AAE;LYS;Annaba;DZ;Algeria;Lyon St-exupery Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;9;1296
ALC;ORN;Alicante;ES;Spain;Oran Es Senia Apt;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;18;2592
ALG;AMM;Algiers;DZ;Algeria;Amman Queen Alia International Apt;JO;Jordan;AF1;Africa : North Africa;ME1;Middle East;5;720
ALG;ETZ;Algiers;DZ;Algeria;Metz/Nancy Lorraine;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;9;1124
ALG;LOO;Algiers;DZ;Algeria;Laghouat;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;9;594
ALG;MXP;Algiers;DZ;Algeria;Milan Malpensa Apt;IT;Italy;AF1;Africa : North Africa;EU1;Europe : Western Europe;14;1414
ALG;QSF;Algiers;DZ;Algeria;Setif;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;49;5340
ALG;TGR;Algiers;DZ;Algeria;Touggourt;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;4;264
ALG;TIN;Algiers;DZ;Algeria;Tindouf;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;10;1010
ALG;YUL;Algiers;DZ;Algeria;Montreal Pierre Elliott Trudeau Int Apt;CA;Canada;AF1;Africa : North Africa;NA1;North America;9;2421
AMM;ALG;Amman Queen Alia International Apt;JO;Jordan;Algiers;DZ;Algeria;ME1;Middle East;AF1;Africa : North Africa;5;720
BJA;LYS;Bejaia;DZ;Algeria;Lyon St-exupery Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;10;1010
BSK;LYS;Biskra;DZ;Algeria;Lyon St-exupery Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;4;576
CZL;QSF;Constantine;DZ;Algeria;Setif;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;14;924
ETZ;ALG;Metz/Nancy Lorraine;FR;France;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;9;1124
LOO;ALG;Laghouat;DZ;Algeria;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;9;594
LYS;AAE;Lyon St-exupery Apt;FR;France;Annaba;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;9;1296
LYS;BJA;Lyon St-exupery Apt;FR;France;Bejaia;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;10;1010
LYS;BSK;Lyon St-exupery Apt;FR;France;Biskra;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;4;576
MXP;ALG;Milan Malpensa Apt;IT;Italy;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;14;1414
ORN;ALC;Oran Es Senia Apt;DZ;Algeria;Alicante;ES;Spain;AF1;Africa : North Africa;EU1;Europe : Western Europe;18;2592
ORN;TLS;Oran Es Senia Apt;DZ;Algeria;Toulouse;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;9;1124
QSF;ALG;Setif;DZ;Algeria;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;63;5562
TGR;ALG;Touggourt;DZ;Algeria;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;4;264
TIN;ALG;Tindouf;DZ;Algeria;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;9;909
TLS;ORN;Toulouse;FR;France;Oran Es Senia Apt;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;9;1124
YUL;ALG;Montreal Pierre Elliott Trudeau Int Apt;CA;Canada;Algiers;DZ;Algeria;NA1;North America;AF1;Africa : North Africa;9;2421
AAE;ORN;Annaba;DZ;Algeria;Oran Es Senia Apt;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;9;906
ALG;BCN;Algiers;DZ;Algeria;Barcelona Apt;ES;Spain;AF1;Africa : North Africa;EU1;Europe : Western Europe;18;1818
ALG;CZL;Algiers;DZ;Algeria;Constantine;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;154;13460
ALG;FCO;Algiers;DZ;Algeria;Rome Fiumicino Apt;IT;Italy;AF1;Africa : North Africa;EU1;Europe : Western Europe;13;1313
ALG;GHA;Algiers;DZ;Algeria;Ghardaia;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;27;1782
ALG;LIL;Algiers;DZ;Algeria;Lille Lesquin Airport;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;9;909
ALG;OUA;Algiers;DZ;Algeria;Ouagadougou;BF;Burkina Faso;AF1;Africa : North Africa;AF3;Africa : Central/Western Africa;8;808
ALG;PEK;Algiers;DZ;Algeria;Beijing Capital Intl Apt;CN;China;AF1;Africa : North Africa;AS4;Asia : North East Asia;9;2421
ALG;SVO;Algiers;DZ;Algeria;Moscow Sheremetyevo International Apt;RU;Russian Federation;AF1;Africa : North Africa;EU2;Europe : Eastern/Central Europe;2;202
ALG;TEE;Algiers;DZ;Algeria;Tbessa;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;13;858
BCN;ALG;Barcelona Apt;ES;Spain;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;27;2727
BSK;ORN;Biskra;DZ;Algeria;Oran Es Senia Apt;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;9;594
CZL;ALG;Constantine;DZ;Algeria;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;145;13116
FCO;ALG;Rome Fiumicino Apt;IT;Italy;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;13;1313
GHA;ALG;Ghardaia;DZ;Algeria;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;26;1716
LIL;ALG;Lille Lesquin Airport;FR;France;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;9;909
OGX;VVZ;Ouargla;DZ;Algeria;Illizi;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;5;505
ORN;AAE;Oran Es Senia Apt;DZ;Algeria;Annaba;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;9;906
ORN;BSK;Oran Es Senia Apt;DZ;Algeria;Biskra;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;9;594
PEK;ALG;Beijing Capital Intl Apt;CN;China;Algiers;DZ;Algeria;AS4;Asia : North East Asia;AF1;Africa : North Africa;9;2421
SVO;ALG;Moscow Sheremetyevo International Apt;RU;Russian Federation;Algiers;DZ;Algeria;EU2;Europe : Eastern/Central Europe;AF1;Africa : North Africa;2;202
TEE;ALG;Tbessa;DZ;Algeria;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;13;858
VVZ;OGX;Illizi;DZ;Algeria;Ouargla;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;5;505
ALG;BKO;Algiers;DZ;Algeria;Bamako;ML;Mali;AF1;Africa : North Africa;AF3;Africa : Central/Western Africa;9;909
ALG;ELU;Algiers;DZ;Algeria;El Oued;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;9;594
ALG;IST;Algiers;DZ;Algeria;Istanbul Ataturk Airport;TR;Turkey;AF1;Africa : North Africa;EU1;Europe : Western Europe;14;2016
ALG;MAD;Algiers;DZ;Algeria;Madrid Barajas Apt;ES;Spain;AF1;Africa : North Africa;EU1;Europe : Western Europe;13;1313
ALG;NCE;Algiers;DZ;Algeria;Nice;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;9;909
ALG;NKC;Algiers;DZ;Algeria;Nouakchott;MR;Mauritania;AF1;Africa : North Africa;AF3;Africa : Central/Western Africa;8;808
BKO;ALG;Bamako;ML;Mali;Algiers;DZ;Algeria;AF3;Africa : Central/Western Africa;AF1;Africa : North Africa;9;909
CZL;LYS;Constantine;DZ;Algeria;Lyon St-exupery Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;10;1440
ELU;ALG;El Oued;DZ;Algeria;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;9;594
IST;ALG;Istanbul Ataturk Airport;TR;Turkey;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;14;2016
LYS;CZL;Lyon St-exupery Apt;FR;France;Constantine;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;10;1440
MAD;ALG;Madrid Barajas Apt;ES;Spain;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;13;1313
NCE;ALG;Nice;FR;France;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;9;909
NKC;ALG;Nouakchott;MR;Mauritania;Algiers;DZ;Algeria;AF3;Africa : Central/Western Africa;AF1;Africa : North Africa;8;808
ORN;BCN;Oran Es Senia Apt;DZ;Algeria;Barcelona Apt;ES;Spain;AF1;Africa : North Africa;EU1;Europe : Western Europe;9;909
ORY;QSF;Paris Orly Apt;FR;France;Setif;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;18;2592
QSF;ORY;Setif;DZ;Algeria;Paris Orly Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;18;2592
AAE;MRS;Annaba;DZ;Algeria;Marseille Provence Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;13;1872
ALG;ABJ;Algiers;DZ;Algeria;Abidjan;CI;Cote D'Ivoire;AF1;Africa : North Africa;AF3;Africa : Central/Western Africa;5;505
ALG;BLJ;Algiers;DZ;Algeria;Batna;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;27;2627
ALG;CBH;Algiers;DZ;Algeria;Bechar;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;8;808
ALG;CDG;Algiers;DZ;Algeria;Paris Charles de Gaulle Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;31;8339
ALG;CMN;Algiers;DZ;Algeria;Casablanca Mohammed V Apt;MA;Morocco;AF1;Africa : North Africa;AF1;Africa : North Africa;14;1414
